iter	Passed	Remaining
0	62	62530
1	63	31707
2	64	21333
3	64	16112
4	65	12999
5	65	10898
6	66	9426
7	67	8312
8	67	7444
9	68	6741
10	68	6177
11	69	5710
12	69	5306
13	70	4962
14	71	4663
15	71	4401
16	72	4171
17	72	3974
18	73	3805
19	74	3640
20	74	3490
21	75	3353
22	76	3239
23	76	3124
24	77	3017
25	77	2919
26	78	2830
27	79	2743
28	79	2670
29	80	2599
30	81	2538
31	81	2475
32	82	2420
33	83	2365
34	84	2317
35	84	2266
36	85	2223
37	86	2179
38	86	2137
39	87	2099
40	88	2059
41	88	2023
42	89	1988
43	90	1956
44	90	1927
45	91	1896
46	92	1866
47	93	1847
48	93	1819
49	94	1790
50	94	1762
51	95	1739
52	96	1717
53	96	1693
54	97	1673
55	98	1653
56	98	1631
57	99	1610
58	99	1592
59	100	1576
60	101	1558
61	101	1540
62	102	1524
63	103	1508
64	103	1492
65	104	1475
66	104	1460
67	105	1446
68	105	1429
69	106	1416
70	107	1405
71	108	1398
72	109	1384
73	109	1371
74	110	1358
75	110	1347
76	111	1336
77	112	1326
78	112	1316
79	113	1307
80	114	1297
81	115	1292
82	115	1278
83	116	1268
84	117	1260
85	117	1252
86	118	1244
87	119	1233
88	119	1224
89	120	1215
90	120	1206
91	121	1196
92	121	1186
93	122	1176
94	122	1168
95	123	1160
96	124	1154
97	124	1146
98	125	1138
99	125	1130
100	126	1122
101	126	1115
102	127	1107
103	127	1099
104	128	1092
105	128	1086
106	129	1079
107	130	1073
108	130	1067
109	131	1059
110	131	1052
111	132	1047
112	132	1040
113	132	1033
114	133	1028
115	134	1022
116	134	1016
117	135	1011
118	136	1007
119	136	1002
120	137	997
121	137	991
122	138	987
123	139	983
124	139	979
125	140	974
126	140	967
127	141	963
128	141	958
129	142	953
130	142	948
131	143	943
132	144	938
133	144	934
134	145	930
135	145	926
136	146	922
137	147	918
138	147	914
139	148	910
140	148	906
141	149	900
142	149	896
143	150	893
144	150	889
145	151	887
146	152	883
147	152	879
148	153	875
149	153	872
150	154	869
151	155	866
152	155	863
153	156	859
154	157	856
155	157	853
156	158	850
157	159	848
158	159	845
159	160	842
160	160	838
161	161	834
162	161	831
163	162	828
164	163	826
165	163	822
166	164	819
167	164	816
168	165	814
169	166	811
170	166	809
171	167	806
172	168	804
173	169	803
174	169	800
175	170	797
176	171	795
177	171	792
178	172	790
179	172	787
180	173	784
181	173	781
182	174	779
183	175	776
184	175	774
185	176	771
186	176	768
187	177	766
188	178	763
189	178	761
190	179	758
191	179	756
192	180	753
193	180	751
194	181	749
195	182	747
196	182	744
197	183	742
198	183	739
199	184	737
200	184	735
201	185	732
202	186	730
203	186	728
204	187	726
205	187	724
206	188	721
207	189	719
208	189	717
209	190	715
210	190	713
211	191	710
212	191	708
213	192	706
214	192	704
215	193	702
216	194	700
217	194	698
218	195	696
219	195	694
220	196	692
221	197	690
222	197	689
223	198	687
224	198	684
225	199	682
226	200	681
227	200	679
228	201	677
229	201	675
230	202	673
231	202	671
232	203	670
233	204	668
234	204	666
235	205	664
236	205	663
237	206	661
238	207	659
239	207	657
240	208	655
241	208	654
242	209	652
243	209	650
244	210	648
245	211	646
246	211	644
247	212	643
248	212	641
249	213	640
250	214	638
251	214	637
252	215	635
253	215	633
254	216	631
255	216	630
256	217	628
257	218	627
258	218	625
259	219	623
260	219	622
261	220	620
262	220	618
263	221	617
264	221	615
265	222	614
266	223	612
267	223	611
268	224	609
269	225	608
270	225	606
271	226	605
272	226	603
273	227	602
274	227	600
275	228	598
276	229	597
277	229	596
278	230	594
279	230	592
280	231	591
281	231	589
282	232	588
283	232	586
284	233	585
285	233	584
286	234	582
287	235	581
288	236	581
289	237	580
290	237	579
291	238	578
292	239	576
293	239	575
294	240	574
295	240	573
296	241	571
297	242	570
298	243	569
299	243	568
300	244	567
301	244	566
302	245	564
303	246	563
304	246	562
305	247	561
306	248	560
307	248	558
308	249	557
309	249	556
310	250	555
311	251	554
312	251	553
313	252	551
314	253	550
315	253	549
316	254	548
317	254	546
318	255	545
319	256	544
320	256	543
321	257	541
322	258	540
323	258	539
324	259	538
325	260	537
326	260	536
327	261	535
328	262	534
329	262	533
330	263	532
331	264	531
332	264	530
333	265	528
334	265	527
335	266	526
336	267	525
337	267	524
338	268	523
339	268	522
340	269	520
341	270	519
342	270	518
343	271	517
344	272	516
345	272	515
346	273	514
347	273	513
348	274	511
349	275	511
350	275	510
351	276	508
352	277	507
353	277	506
354	278	506
355	279	505
356	279	504
357	280	502
358	281	501
359	281	500
360	282	499
361	283	498
362	283	497
363	284	496
364	284	495
365	285	494
366	286	493
367	286	492
368	287	491
369	287	490
370	288	489
371	289	488
372	289	487
373	290	486
374	291	485
375	291	484
376	292	483
377	293	482
378	294	481
379	294	480
380	295	479
381	295	478
382	296	477
383	297	476
384	298	476
385	298	475
386	299	473
387	299	472
388	300	471
389	301	471
390	301	470
391	302	469
392	303	468
393	303	467
394	304	466
395	304	465
396	305	464
397	306	463
398	306	462
399	307	461
400	308	460
401	308	459
402	309	458
403	310	457
404	310	456
405	311	455
406	311	454
407	312	453
408	313	452
409	313	451
410	314	450
411	314	449
412	315	448
413	316	447
414	316	446
415	317	445
416	317	444
417	318	443
418	319	442
419	319	441
420	320	440
421	320	439
422	321	438
423	322	438
424	323	437
425	323	436
426	324	435
427	325	434
428	325	433
429	326	432
430	327	431
431	327	430
432	328	430
433	329	429
434	329	428
435	330	427
436	330	426
437	331	425
438	332	424
439	333	423
440	333	423
441	334	422
442	335	421
443	335	420
